Filename                                              Regions  Missed Regions    Cover  Functions  Missed Functions  Executed  Lines  Missed Lines    Cover  Branches  Missed Branches  Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alloy-provider\src\builder.rs                              97              17   82.47%         13                 3    76.92%     76            14   81.58%         0                0      -
alloy-provider\src\client.rs                               21               0  100.00%          1                 0   100.00%     12             0  100.00%         0                0      -
alloy-provider\src\conversion.rs                          422              16   96.21%         24                 3    87.50%    235             6   97.45%         0                0      -
alloy-provider\src\error.rs                               142              27   80.99%         11                 0   100.00%    127            29   77.17%         0                0      -
alloy-provider\src\lib.rs                                  50              13   74.00%         11                 2    81.82%     54            13   75.93%         0                0      -
alloy-provider\src\provider.rs                            146              35   76.03%         30                 7    76.67%    126            25   80.16%         0                0      -
alloy-provider\src\read_contract.rs                       555             137   75.32%         46                16    65.22%    404           130   67.82%         0                0      -
alloy-provider\src\retry.rs                                25              10   60.00%          6                 3    50.00%     23             9   60.87%         0                0      -
alloy-signer\src\builder.rs                               109               4   96.33%         16                 0   100.00%    106             2   98.11%         0                0      -
alloy-signer\src\conversion.rs                            325              12   96.31%         20                 5    75.00%    201            10   95.02%         0                0      -
alloy-signer\src\error.rs                                 111              19   82.88%         10                 2    80.00%     96            13   86.46%         0                0      -
alloy-signer\src\signer.rs                                100              14   86.00%         22                 3    86.36%     84             3   96.43%         0                0      -
alloy\src\builder.rs                                      145              38   73.79%         23                 7    69.57%    135            24   82.22%         0                0      -
alloy\src\client.rs                                       197              40   79.70%         33                 5    84.85%    168            24   85.71%         0                0      -
alloy\src\error.rs                                        159              18   88.68%         13                 2    84.62%    118            17   85.59%         0                0      -
alloy\src\handle.rs                                       117              20   82.91%         21                 4    80.95%     89             4   95.51%         0                0      -
app-data\src\cid.rs                                       125              11   91.20%         10                 2    80.00%     70             8   88.57%         0                0      -
app-data\src\errors.rs                                    183              33   81.97%          5                 0   100.00%     66             5   92.42%         0                0      -
app-data\src\fetch.rs                                      98               7   92.86%         20                 2    90.00%     86             2   97.67%         0                0      -
app-data\src\info.rs                                      204              21   89.71%         18                 1    94.44%    140             5   96.43%         0                0      -
app-data\src\metadata\flashloan.rs                         36               0  100.00%          3                 0   100.00%     43             0  100.00%         0                0      -
app-data\src\metadata\hooks.rs                             19               0  100.00%          4                 0   100.00%     23             0  100.00%         0                0      -
app-data\src\metadata\quote.rs                             24               4   83.33%          4                 1    75.00%     27             4   85.19%         0                0      -
app-data\src\schema.rs                                     98               7   92.86%          7                 1    85.71%     68             6   91.18%         0                0      -
app-data\src\types\doc.rs                                 121               4   96.69%         11                 0   100.00%     59             2   96.61%         0                0      -
app-data\src\types\ipfs.rs                                  9               9    0.00%          1                 1     0.00%      6             6    0.00%         0                0      -
app-data\src\types\params.rs                              189              29   84.66%         15                 1    93.33%    122             9   92.62%         0                0      -
app-data\src\types\partner_fee.rs                         198               1   99.49%         17                 0   100.00%    171             0  100.00%         0                0      -
app-data\src\types\validation.rs                           10              10    0.00%          2                 2     0.00%     14            14    0.00%         0                0      -
browser-wallet\src\error.rs                               125              11   91.20%         12                 2    83.33%    154             9   94.16%         0                0      -
browser-wallet\src\events.rs                               96              10   89.58%         10                 1    90.00%     95             5   94.74%         0                0      -
browser-wallet\src\js.rs                                    3               3    0.00%          1                 1     0.00%      3             3    0.00%         0                0      -
browser-wallet\src\mock.rs                                375             118   68.53%         50                15    70.00%    318            81   74.53%         0                0      -
browser-wallet\src\provider\builder.rs                     89              17   80.90%         10                 1    90.00%     76             9   88.16%         0                0      -
browser-wallet\src\provider\mod.rs                        133              16   87.97%         17                 1    94.12%     98             8   91.84%         0                0      -
browser-wallet\src\provider\origin.rs                      48               0  100.00%          5                 0   100.00%     41             0  100.00%         0                0      -
browser-wallet\src\provider\provider_impl.rs              995             522   47.54%         95                56    41.05%    678           350   48.38%         0                0      -
browser-wallet\src\provider\signing_provider_impl.rs       32               1   96.88%          2                 0   100.00%     21             0  100.00%         0                0      -
browser-wallet\src\provider\transport.rs                    3               0  100.00%          1                 0   100.00%      7             0  100.00%         0                0      -
browser-wallet\src\signer.rs                              328              93   71.65%         41                13    68.29%    245            52   78.78%         0                0      -
browser-wallet\src\wallet\chain.rs                        241              47   80.50%         18                 2    88.89%    205            40   80.49%         0                0      -
browser-wallet\src\wallet\chain_mgmt.rs                    68               6   91.18%         14                 0   100.00%     72             0  100.00%         0                0      -
browser-wallet\src\wallet\detect.rs                        15               8   46.67%          5                 3    40.00%     18             7   61.11%         0                0      -
browser-wallet\src\wallet\discovery.rs                    249              22   91.16%         27                 3    88.89%    207            18   91.30%         0                0      -
browser-wallet\src\wallet\mod.rs                          105              16   84.76%         22                 4    81.82%     89            14   84.27%         0                0      -
contracts\src\cow_shed\address\mod.rs                      85               0  100.00%          9                 0   100.00%     53             0  100.00%         0                0      -
contracts\src\cow_shed\bindings.rs                          2               2    0.00%          2                 2     0.00%      2             2    0.00%         0                0      -
contracts\src\cow_shed\calls.rs                            71               0  100.00%          6                 0   100.00%     74             0  100.00%         0                0      -
contracts\src\cow_shed\eip712.rs                          149               0  100.00%          8                 0   100.00%     82             0  100.00%         0                0      -
contracts\src\cow_shed\hooks.rs                           118              24   79.66%         15                 5    66.67%     96            27   71.88%         0                0      -
contracts\src\cow_shed\types.rs                            25              13   48.00%          4                 1    75.00%     23             6   73.91%         0                0      -
contracts\src\cow_shed\version.rs                          10               5   50.00%          2                 1    50.00%      8             3   62.50%         0                0      -
contracts\src\deployments.rs                              191              45   76.44%         15                 7    53.33%    164            35   78.66%         0                0      -
contracts\src\errors.rs                                    27               5   81.48%          4                 0   100.00%     25             3   88.00%         0                0      -
contracts\src\eth_flow.rs                                 323               6   98.14%         26                 2    92.31%    232             3   98.71%         0                0      -
contracts\src\hex_field.rs                                155               2   98.71%         17                 0   100.00%     97             1   98.97%         0                0      -
contracts\src\interaction.rs                               23               0  100.00%          4                 0   100.00%     23             0  100.00%         0                0      -
contracts\src\onchain_orders.rs                           145              38   73.79%         12                 4    66.67%    102            30   70.59%         0                0      -
contracts\src\order.rs                                    342              10   97.08%         25                 3    88.00%    213            10   95.31%         0                0      -
contracts\src\primitives.rs                               172               5   97.09%         12                 0   100.00%    114             2   98.25%         0                0      -
contracts\src\settlement.rs                               117              14   88.03%          5                 2    60.00%     84            11   86.90%         0                0      -
contracts\src\signature.rs                                276              15   94.57%         38                 3    92.11%    234             9   96.15%         0                0      -
contracts\src\tokens.rs                                    17               2   88.24%          4                 2    50.00%     17             2   88.24%         0                0      -
contracts\src\verify.rs                                    14               0  100.00%          5                 0   100.00%     24             0  100.00%         0                0      -
core\src\cancellation.rs                                   23               5   78.26%          3                 1    66.67%     17             3   82.35%         0                0      -
core\src\config\chains.rs                                 101              18   82.18%          8                 1    87.50%     87            15   82.76%         0                0      -
core\src\config\env.rs                                     27               1   96.30%          4                 0   100.00%     21             1   95.24%         0                0      -
core\src\config\hosts.rs                                  149              28   81.21%         16                 0   100.00%    112            12   89.29%         0                0      -
core\src\config\http.rs                                    60              13   78.33%         12                 2    83.33%     59            14   76.27%         0                0      -
core\src\config\protocol.rs                                79               0  100.00%         11                 0   100.00%     65             0  100.00%         0                0      -
core\src\errors.rs                                          9               0  100.00%          2                 0   100.00%      9             0  100.00%         0                0      -
core\src\redaction\body.rs                                447              55   87.70%         21                 0   100.00%    254            29   88.58%         0                0      -
core\src\redaction\wrappers.rs                            275              47   82.91%         41                11    73.17%    172            33   80.81%         0                0      -
core\src\traits\provider.rs                                 8               0  100.00%          2                 0   100.00%     16             0  100.00%         0                0      -
core\src\traits\signer.rs                                  46              11   76.09%         13                 3    76.92%     51            12   76.47%         0                0      -
core\src\traits\transaction.rs                             51               0  100.00%         11                 0   100.00%     73             0  100.00%         0                0      -
core\src\traits\typed_data.rs                              61               0  100.00%          8                 0   100.00%     65             0  100.00%         0                0      -
core\src\transport\error.rs                                 6               0  100.00%          1                 0   100.00%      5             0  100.00%         0                0      -
core\src\transport\mod.rs                                  58               4   93.10%          7                 0   100.00%     35             2   94.29%         0                0      -
core\src\transport\policy\classify.rs                      40               5   87.50%          2                 0   100.00%     32             5   84.38%         0                0      -
core\src\transport\policy\config.rs                       146              10   93.15%         26                 2    92.31%    168             8   95.24%         0                0      -
core\src\transport\policy\jitter.rs                       106               4   96.23%         13                 1    92.31%     66             3   95.45%         0                0      -
core\src\transport\policy\rate_limit.rs                   177               6   96.61%         28                 0   100.00%    150             5   96.67%         0                0      -
core\src\transport\policy\retry.rs                        131               0  100.00%         25                 0   100.00%    107             0  100.00%         0                0      -
core\src\transport\policy\retry_after.rs                  106               3   97.17%         12                 0   100.00%     66             0  100.00%         0                0      -
core\src\transport\policy\runner.rs                       322               7   97.83%         35                 0   100.00%    303             2   99.34%         0                0      -
core\src\transport\policy\status.rs                         4               0  100.00%          1                 0   100.00%      4             0  100.00%         0                0      -
core\src\transport\policy\time.rs                           8               0  100.00%          3                 0   100.00%      7             0  100.00%         0                0      -
core\src\transport\reqwest.rs                             335              38   88.66%         39                 8    79.49%    251            34   86.45%         0                0      -
core\src\types\amount.rs                                  304              30   90.13%         38                 6    84.21%    198            20   89.90%         0                0      -
core\src\types\app_code.rs                                150               1   99.33%         15                 0   100.00%     85             0  100.00%         0                0      -
core\src\types\identity.rs                                383             116   69.71%         86                30    65.12%    309            93   69.90%         0                0      -
core\src\types\logs.rs                                    138              12   91.30%         15                 2    86.67%    100             8   92.00%         0                0      -
core\src\types\mod.rs                                      66               0  100.00%          1                 0   100.00%     46             0  100.00%         0                0      -
core\src\types\order.rs                                    44               7   84.09%          8                 1    87.50%     70            17   75.71%         0                0      -
core\src\types\quote.rs                                    23               0  100.00%          5                 0   100.00%     49             0  100.00%         0                0      -
core\src\types\validity.rs                                 43               9   79.07%          8                 2    75.00%     40            11   72.50%         0                0      -
core\src\validation.rs                                     19               0  100.00%          2                 0   100.00%     17             0  100.00%         0                0      -
